failed_accession	gene_names	gene_mapping_source	protein_description	reviewed_status	failed_sequence_length	failed_sequence_sha256	PWM_annotation_level	PWM_source_or_model	legacy_family_text	accepted_pfam_hits	reviewed_DBD_pfam_hits	uncertain_pfam_hits	non_DBD_pfam_hits	DBD_present_by_reviewed_pfam	DBD_fragment_ids	DBD_fragment_sent	DBD_fragment_models_checked	DBD_fragment_passing_model_count	DBD_fragment_best_model_path	DBD_fragment_interface_result	non_DBD_contacting_fragment_ids	canonical_reference_accession	canonical_reference_selection_reason	canonical_reference_reviewed_status	canonical_reference_sequence_length	canonical_reference_DBD_context	canonical_reference_model_path	canonical_reference_model_interval	canonical_reference_interface_result	canonical_reference_atom_contacts	canonical_reference_protein_interface_residues	canonical_reference_dna_interface_residues	failed_to_canonical_full_alignment_length	failed_to_canonical_full_identity_percent	canonical_DBD_residues_covered_by_failed	canonical_DBD_coverage_percent	canonical_DBD_identity_percent	failed_coordinates_corresponding_to_DBD	accession_DBD_presence_evidence	primary_structural_status	canonical_reference_status	action_for_baldo	database_display_recommendation	decision_reason	manual_review_required	manual_review_reason	classification_confidence
H0YGT3	ESRRA	FAILED_ACCESSION_ANNOTATION	Estrogen related receptor alpha	UNREVIEWED	198	fcacbad5b737df17dd584fcc5ce50e122afaf4299a408bca3fd4d7317ff7350f	Homologous_PWM	MA0592.1 (77.5%);MA0592.2 (77.4%)	Hormone_recep	PF00104:29-176:Ligand-binding domain of nuclear hormone receptor			PF00104:29-176:Ligand-binding domain of nuclear hormone receptor	NO		NOT_APPLICABLE	0	0				F5H0E9	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	162	MODEL_INTERVAL:1-19	/data/sbi/interchange/boliva/patricia/models/TFS_F5H0E9:1:19_1lo1_A_1.pdb	1-19	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	202	5	6	218	47.89	0	0.00	0.00		UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
H0YNG1	POU2F2	FAILED_ACCESSION_ANNOTATION	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Octamer-binding transcription factor 1)	UNREVIEWED	198	2417d610f7b32fa41cb57a012a4fa8879dd6bafe5669016491e427da7bc3888c	Homologous_PWM	M00548_2.00 (70.8%);M10829_2.00 (70.8%)		PF19536:68-178:POU domain, class 2, transcription factor 1 C-terminal			PF19536:68-178:POU domain, class 2, transcription factor 1 C-terminal	NO		NOT_APPLICABLE	0	0				U3KQ96	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	262	PF00157:193-262:Pou domain - N-terminal to homeobox domain	/data/sbi/interchange/boliva/patricia/models/TFS_U3KQ96:189:262_1e3o_C_1.pdb	189-262	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	52	5	3	265	32.31	59	84.29	18.64	140-198	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
H2BNB9	ETV6;INO80D	BLANK_GENE_MAPPING:fusion	ETV6/INO80D fusion protein	UNREVIEWED	724	a22f337360bf3fc398159b085c0bd7b9304e25e92a7b1cfec3c1015a6f583c43	Identical_PWM	MA0645.1	SAM_PNT,SAM_1	PF02198:40-123:Sterile alpha motif (SAM)/Pointed domain			PF02198:40-123:Sterile alpha motif (SAM)/Pointed domain	NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Gene mapping is fusion.	LOW
K7ELF3	TCF3	FAILED_ACCESSION_ANNOTATION	Transcription factor 3	UNREVIEWED	151	f70272c4c8a307b352d3fe1dcb9cbd393db44bb38a58cb5f318d5daec87ad9c3	Identical_PWM	MA0091.1						NO		NOT_APPLICABLE	0	0				K7ENH8	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	314	PF00010:210-262:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	318	22	16	314	49.01	20	37.74	60.00	105-124	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
K7ENI0	TCF3	FAILED_ACCESSION_ANNOTATION	Transcription factor 3	UNREVIEWED	95	08d55da11982374fa9e3b7b8864a82f3664847bff5e217c0fc040f13baeba56d	Identical_PWM	MA0091.1						NO		NOT_APPLICABLE	0	0				K7ENH8	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	314	PF00010:210-262:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	318	22	16	314	57.89	10	18.87	60.00	73-82	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
Q59EF3	TEAD1	BLANK_GENE_MAPPING:clear_from_description	TEA domain family member 1 variant	UNREVIEWED	371	e823627235a31c2c51e91d9f52bb4158011cf3308ba64c8bcdc95667e5f63f07	Identical_PWM	MA0090.1	TEA	PF17725:160-368:YAP binding domain			PF17725:160-368:YAP binding domain	NO		NOT_APPLICABLE	0	0			Q59EF3|PF17725|160-368	H0YE88	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	UNREVIEWED	426	PF01285:32-98:TEA/ATTS domain	/data/sbi/interchange/boliva/patricia/models/TFS_H0YE88:31:104_5nnx_A_1.pdb	31-104	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	178	10	6	426	90.57	37	55.22	35.14	14-50	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
Q5VVR5	TCF7L2	FAILED_ACCESSION_ANNOTATION	Transcription factor 7 like 2	UNREVIEWED	222	8550bbb04de314488e2078c6ed8fcd3e683a75cabe8aec655c3a946b709a3ff9	Homologous_PWM	M09392_2.00 (72.0%);MA0523.1 (78.8%);MA0768.1 (72.0%)	CTNNB1_binding	PF08347:2-222:N-terminal CTNNB1 binding			PF08347:2-222:N-terminal CTNNB1 binding	NO		NOT_APPLICABLE	0	0				H0YEE5	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	108	PF00505:1-49:HMG (high mobility group) box	/data/sbi/interchange/boliva/patricia/models/TFS_H0YEE5:1:64_2lef_A_1.pdb	1-64	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	552	16	9	222	37.96	49	100.00	42.86	11-104	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
Q68D60	DKFZp686N2325	FAILED_ACCESSION_ANNOTATION	Uncharacterized protein DKFZp686N2325	UNREVIEWED	150	e7096cd645dc045418193eba5c16f3ed643b71df7e61d550ac0cda1c763972d2	Homologous_PWM	MA0608.1 (88.8%)						NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	No decisive reviewed-Pfam or canonical-alignment evidence.	LOW
Q6L9M1	PPARG	FAILED_ACCESSION_ANNOTATION	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	UNREVIEWED	41	67fb3b85ecbfda5dc49a158823357d7bc7a0eaa4ca0b5092d5ab896dd337349e	Identical_PWM	M11139_2.00	PPARgamma_N	PF12577:1-41:PPAR gamma N-terminal region			PF12577:1-41:PPAR gamma N-terminal region	NO		NOT_APPLICABLE	0	0				Q4W4C7	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	280	PF00105:124-190:Double treble clef zinc finger, C4 type	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	670	20	17	280	100.00	2	2.99	100.00	37-38	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
Q709A9	TFEB	FAILED_ACCESSION_ANNOTATION	Transcription factor EB	UNREVIEWED	79	b9679029e07f19b8c15eecb1345dddd0b5e1a7bfbebf214365526617b890104d	Identical_PWM	MA0692.1	DUF2547,Activator_LAG-3	PF15951:4-79:MITF/TFEB/TFEC/TFE3 N-terminus			PF15951:4-79:MITF/TFEB/TFEC/TFE3 N-terminus	NO		NOT_APPLICABLE	0	0				A0A7I2YQR9	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	273	PF00010:236-265:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7I2YQR9:232:263_5nj8_B_1.pdb	232-263	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	186	9	6	273	100.00	4	13.33	100.00	76-79	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
Q86VD4	CREB3L2	FAILED_ACCESSION_ANNOTATION	CREB3L2 protein	UNREVIEWED	200	2dfa37e87f19f5d7fb656ab46956c2b2d8e89206fda3ff5bc304b3825c217403	Homologous_PWM	MA0608.1 (87.0%)						NO		NOT_APPLICABLE	0	0				Q70SY1	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	520	PF00170:292-354:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	295-354	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	57	8	6	520	92.00	14	22.22	71.43	155-168	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
X5D8U0	ARNT2	FAILED_ACCESSION_ANNOTATION	Aryl-hydrocarbon receptor nuclear translocator 2 isoform G	UNREVIEWED	435	47daad50c3c10ee73ba280d67907270a666d4db23d2600aca50954405fd7ceb9	Homologous_PWM	M01720_2.00 (94.6%);MA1464.1 (99.2%)	PAS,PAS_9,PAS_6,PAS_3	PF14598:54-154:PAS domain			PF14598:54-154:PAS domain	NO		NOT_APPLICABLE	0	0				X5DRE4	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	220	PF00010:65-116:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_X5DRE4:62:116_4zpr_A_1.pdb	62-116	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	66	4	4	435	47.27	52	100.00	51.92	126-233	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
