accession	in_sent_fasta	fasta_header	sequence_length	af3_return_found	af3_model_count	af3_model_paths	confidence_json_found	pae_json_found	protein_present	dna_present	valid_interface_any_model	best_model_path	best_model_rank	atom_contacts	protein_interface_residues	dna_interface_residues	final_return_status	notes
B4DVG0	YES	B4DVG0|gene=|primary=Homologous_PWM|family=DUF3446|no_active_pdb_model cDNA FLJ60905, highly similar to Early growth response protein 1	232	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/B4DVG0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/seed-1_sample-0/B4DVG0_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/seed-1_sample-1/B4DVG0_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/seed-1_sample-2/B4DVG0_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/seed-1_sample-3/B4DVG0_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/seed-1_sample-4/B4DVG0_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4DVG0/B4DVG0_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4DW78	YES	B4DW78|gene=|primary=Identical_PWM|family=SAM_PNT,GluR_Homer-bdg|no_active_pdb_model cDNA FLJ59231, highly similar to C-ets-1 protein	300	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4DW78/B4DW78_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DW78/seed-1_sample-0/B4DW78_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DW78/seed-1_sample-1/B4DW78_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DW78/seed-1_sample-2/B4DW78_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DW78/seed-1_sample-3/B4DW78_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DW78/seed-1_sample-4/B4DW78_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4DW78/B4DW78_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4E1B1	YES	B4E1B1|gene=IRF7,hCG_18132|primary=Identical_PWM|family=IRF-3|no_active_pdb_model Interferon regulatory factor 7, isoform CRA_c (cDNA FLJ61529, highly similar to Interferon regulatory factor 7)	210	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/B4E1B1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/seed-1_sample-0/B4E1B1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/seed-1_sample-1/B4E1B1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/seed-1_sample-2/B4E1B1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/seed-1_sample-3/B4E1B1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/seed-1_sample-4/B4E1B1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4E1B1/B4E1B1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4E2G3	YES	B4E2G3|gene=|primary=Homologous_PWM|family=|no_active_pdb_model cDNA FLJ58974, highly similar to Homo sapiens cAMP responsive element binding protein 3-like 4 (CREB3L4), mRNA	202	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/B4E2G3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/seed-1_sample-0/B4E2G3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/seed-1_sample-1/B4E2G3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/seed-1_sample-2/B4E2G3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/seed-1_sample-3/B4E2G3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/seed-1_sample-4/B4E2G3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4E2G3/B4E2G3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4E2U7	YES	B4E2U7|gene=|primary=Identical_PWM|family=HIF-1,HIF-1a_CTAD,PAS,PAS_3,PAS_9,Dicty_REP|no_active_pdb_model Hypoxia-inducible factor 1-alpha	577	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/B4E2U7_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/seed-1_sample-0/B4E2U7_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/seed-1_sample-1/B4E2U7_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/seed-1_sample-2/B4E2U7_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/seed-1_sample-3/B4E2U7_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/seed-1_sample-4/B4E2U7_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4E2U7/B4E2U7_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4E374	YES	B4E374|gene=|primary=Homologous_PWM|family=Hormone_recep|no_active_pdb_model cDNA FLJ51617, highly similar to Estrogen receptor	170	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4E374/B4E374_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E374/seed-1_sample-0/B4E374_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E374/seed-1_sample-1/B4E374_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E374/seed-1_sample-2/B4E374_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E374/seed-1_sample-3/B4E374_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4E374/seed-1_sample-4/B4E374_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4E374/B4E374_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B5MCD3	YES	B5MCD3|gene=HOXD12|primary=Homologous_PWM|family=|no_active_pdb_model Homeobox D12	246	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/B5MCD3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/seed-1_sample-0/B5MCD3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/seed-1_sample-1/B5MCD3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/seed-1_sample-2/B5MCD3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/seed-1_sample-3/B5MCD3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/seed-1_sample-4/B5MCD3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B5MCD3/B5MCD3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B7Z5Z3	YES	B7Z5Z3|gene=|primary=Homologous_PWM|family=OmpH,IncA,LOH1CR12|no_active_pdb_model cDNA FLJ55780, highly similar to Transcription factor SOX-5	509	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/B7Z5Z3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/seed-1_sample-0/B7Z5Z3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/seed-1_sample-1/B7Z5Z3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/seed-1_sample-2/B7Z5Z3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/seed-1_sample-3/B7Z5Z3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/seed-1_sample-4/B7Z5Z3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B7Z5Z3/B7Z5Z3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B7Z8F5	YES	B7Z8F5|gene=|primary=Homologous_PWM|family=RFX1_trans_act|no_active_pdb_model cDNA FLJ53376, highly similar to DNA-binding protein RFX2	510	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/B7Z8F5_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/seed-1_sample-0/B7Z8F5_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/seed-1_sample-1/B7Z8F5_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/seed-1_sample-2/B7Z8F5_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/seed-1_sample-3/B7Z8F5_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/seed-1_sample-4/B7Z8F5_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B7Z8F5/B7Z8F5_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9J5U3	YES	C9J5U3|gene=HBP1|primary=Homologous_PWM|family=|no_active_pdb_model HMG-box transcription factor 1	111	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/C9J5U3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/seed-1_sample-0/C9J5U3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/seed-1_sample-1/C9J5U3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/seed-1_sample-2/C9J5U3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/seed-1_sample-3/C9J5U3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/seed-1_sample-4/C9J5U3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9J5U3/C9J5U3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9J682	YES	C9J682|gene=ZFX|primary=Homologous_PWM|family=Zfx_Zfy_act,Adhes-Ig_like|no_active_pdb_model Zinc finger protein X-linked	135	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9J682/C9J682_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J682/seed-1_sample-0/C9J682_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J682/seed-1_sample-1/C9J682_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J682/seed-1_sample-2/C9J682_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J682/seed-1_sample-3/C9J682_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J682/seed-1_sample-4/C9J682_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9J682/C9J682_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9J845	YES	C9J845|gene=MITF|primary=Homologous_PWM|family=Ribophorin_I|no_active_pdb_model Melanocyte inducing transcription factor	157	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9J845/C9J845_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J845/seed-1_sample-0/C9J845_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J845/seed-1_sample-1/C9J845_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J845/seed-1_sample-2/C9J845_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J845/seed-1_sample-3/C9J845_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J845/seed-1_sample-4/C9J845_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9J845/C9J845_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9J8V6	YES	C9J8V6|gene=HBP1|primary=Homologous_PWM|family=|no_active_pdb_model HMG-box transcription factor 1	108	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/C9J8V6_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/seed-1_sample-0/C9J8V6_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/seed-1_sample-1/C9J8V6_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/seed-1_sample-2/C9J8V6_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/seed-1_sample-3/C9J8V6_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/seed-1_sample-4/C9J8V6_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9J8V6/C9J8V6_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9JAW1	YES	C9JAW1|gene=HBP1|primary=Homologous_PWM|family=|no_active_pdb_model HMG-box transcription factor 1	70	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/C9JAW1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/seed-1_sample-0/C9JAW1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/seed-1_sample-1/C9JAW1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/seed-1_sample-2/C9JAW1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/seed-1_sample-3/C9JAW1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/seed-1_sample-4/C9JAW1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9JAW1/C9JAW1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9JPH0	YES	C9JPH0|gene=CREB3L2|primary=Homologous_PWM|family=|no_active_pdb_model cAMP responsive element binding protein 3 like 2	185	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/C9JPH0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/seed-1_sample-0/C9JPH0_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/seed-1_sample-1/C9JPH0_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/seed-1_sample-2/C9JPH0_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/seed-1_sample-3/C9JPH0_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/seed-1_sample-4/C9JPH0_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9JPH0/C9JPH0_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
C9JQU7	YES	C9JQU7|gene=HBP1|primary=Homologous_PWM|family=|no_active_pdb_model HMG-box transcription factor 1	124	YES	6	/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/C9JQU7_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/seed-1_sample-0/C9JQU7_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/seed-1_sample-1/C9JQU7_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/seed-1_sample-2/C9JQU7_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/seed-1_sample-3/C9JQU7_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/seed-1_sample-4/C9JQU7_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/C9JQU7/C9JQU7_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
D1LUZ8	YES	D1LUZ8|gene=C20orf112/RUNX1,fusion|primary=Homologous_PWM|family=|no_active_pdb_model C20orf112/RUNX1 fusion protein	170	YES	6	/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/D1LUZ8_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/seed-1_sample-0/D1LUZ8_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/seed-1_sample-1/D1LUZ8_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/seed-1_sample-2/D1LUZ8_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/seed-1_sample-3/D1LUZ8_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/seed-1_sample-4/D1LUZ8_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/D1LUZ8/D1LUZ8_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
D2KFR9	YES	D2KFR9|gene=STAT1|primary=Identical_PWM|family=Sfi1_C,STAT_alpha,STAT_int|no_active_pdb_model Truncated signal transducer and activator of transcription 1	193	YES	18	/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/D2KFR9_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/seed-1_sample-0/D2KFR9_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/seed-1_sample-1/D2KFR9_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/seed-1_sample-2/D2KFR9_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/seed-1_sample-3/D2KFR9_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/seed-1_sample-4/D2KFR9_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_dimer/D2KFR9_dimer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_dimer/seed-1_sample-0/D2KFR9_dimer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_dimer/seed-1_sample-1/D2KFR9_dimer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_dimer/seed-1_sample-2/D2KFR9_dimer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_dimer/seed-1_sample-3/D2KFR9_dimer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_dimer/seed-1_sample-4/D2KFR9_dimer_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_monomer/D2KFR9_monomer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_monomer/seed-1_sample-0/D2KFR9_monomer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_monomer/seed-1_sample-1/D2KFR9_monomer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_monomer/seed-1_sample-2/D2KFR9_monomer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_monomer/seed-1_sample-3/D2KFR9_monomer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D2KFR9_monomer/seed-1_sample-4/D2KFR9_monomer_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/D2KFR9/D2KFR9_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=18.
D6RAB1	YES	D6RAB1|gene=LEF1|primary=Identical_PWM|family=CTNNB1_binding|no_active_pdb_model Lymphoid enhancer binding factor 1	173	YES	6	/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/D6RAB1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/seed-1_sample-0/D6RAB1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/seed-1_sample-1/D6RAB1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/seed-1_sample-2/D6RAB1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/seed-1_sample-3/D6RAB1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/seed-1_sample-4/D6RAB1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/D6RAB1/D6RAB1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
D6RID7	YES	D6RID7|gene=LEF1|primary=Homologous_PWM|family=CTNNB1_binding|no_active_pdb_model Lymphoid enhancer binding factor 1	133	YES	6	/data/sbi/interchange/boliva/patricia/AF3/D6RID7/D6RID7_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RID7/seed-1_sample-0/D6RID7_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RID7/seed-1_sample-1/D6RID7_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RID7/seed-1_sample-2/D6RID7_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RID7/seed-1_sample-3/D6RID7_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RID7/seed-1_sample-4/D6RID7_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/D6RID7/D6RID7_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
D6RIV1	YES	D6RIV1|gene=LEF1|primary=Identical_PWM|family=CTNNB1_binding|no_active_pdb_model Lymphoid enhancer binding factor 1	145	YES	6	/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/D6RIV1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/seed-1_sample-0/D6RIV1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/seed-1_sample-1/D6RIV1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/seed-1_sample-2/D6RIV1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/seed-1_sample-3/D6RIV1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/seed-1_sample-4/D6RIV1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/D6RIV1/D6RIV1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
E0ZS57	YES	E0ZS57|gene=TEF|primary=Identical_PWM|family=|no_active_pdb_model Thyrotrophic embryonic factor	114	YES	6	/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/E0ZS57_model.cif;/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/seed-1_sample-0/E0ZS57_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/seed-1_sample-1/E0ZS57_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/seed-1_sample-2/E0ZS57_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/seed-1_sample-3/E0ZS57_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/seed-1_sample-4/E0ZS57_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/E0ZS57/E0ZS57_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
