failed_accession	failed_sequence_length	canonical_reference_accession	canonical_reference_sequence_length	reference_selection_reason	canonical_DBD_start	canonical_DBD_end	canonical_DBD_interval_source	canonical_DBD_context	full_alignment_columns	full_aligned_residue_pairs	full_alignment_matches	full_identity_percent	DBD_length	DBD_aligned_residues	DBD_matches	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	aligned_non_DBD_residues	aligned_non_DBD_matches	aligned_non_DBD_identity_percent	alignment_evidence_class	model_path	model_interval	model_path_sha256	pdb_selected_protein_chain	pdb_chain_sequence_length	pdb_chain_sequence_sha256	pdb_to_reference_aligned_residues	pdb_to_reference_identity_percent	pdb_chain_coverage_percent	failed_to_pdb_aligned_residues	failed_to_pdb_identity_percent	failed_sequence_coverage_by_pdb_percent	pdb_reference_reconciliation_status	pdb_reconciliation_note	canonical_reference_is_separate_accession
B7Z5Z3	509	P35711	763	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	556	624	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:556-624:HMG (high mobility group) box	763	509	503	98.82	69	4	4	5.80	100.00	490-493	505	499	98.81	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	e650412cce38e0f818785072e64d8f7d3421b84f7859f8ae76503212cfb0e833	A	82	9c18c1e6cd8346066459d9e5742227dab0dc349837fd9b47aac6104289915178	82	100.00	100.00	4	100.00	0.79	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B7Z8F5	510	P48378	723	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	199	273	CANONICAL_DBD_PFAM_COORDINATES	PF02257:199-273:RFX DNA-binding domain	723	510	509	99.80	75	15	14	20.00	93.33	46-60	495	495	100.00	UNCERTAIN_MANUAL_REVIEW					0		0	0.00	0.00	0	0.00	0.00	NOT_APPLICABLE		YES
C9J5U3	111	H7C4S2	454	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	423	450	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:423-450	462	103	103	100.00	28	1	1	3.57	100.00	111-111	102	102	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	423-450	7de60d530b2c7b2b779fa95bea503cc475c163ec60a06e829ced845bd379986d	A	28	e17ecfddb71ee1174f181e94cd2fb6eeaf5670a260001e46b64a6e81801fdb87	28	100.00	100.00	4	75.00	3.60	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
C9J682	135	B7ZKJ5	844	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	587	780	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:587-609:Zinc finger, C2H2 type;PF13909:615-640:C2H2-type zinc-finger domain;PF00096:701-723:Zinc finger, C2H2 type;PF00096:758-780:Zinc finger, C2H2 type	844	135	135	100.00	194	13	13	6.70	100.00	122-134	122	122	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	553-837	9b5521c29e0e266769b318fcaf92dfb57c6d44043db59a788462ec991ff4fa1e	A	285	062cfd0dcab8335f9650e4d55a0dd19f7293a1914b281aba5ef8e3dc7d2328e9	285	100.00	100.00	7	71.43	5.19	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
C9J845	157	O75030	526	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	312	365	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:312-365:Helix-loop-helix DNA-binding domain	526	157	157	100.00	54	2	2	3.70	100.00	150-151	155	155	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_O75030:308:363_4h10_B_1.pdb	308-363	c8ce65a1a080c10c58d21f2618b02a93ddbec8ac12287066fb14052696504895	B	56	411d27ba964915c51356bc39a44aa703e192b56314e7b27ee1aefd85379346c6	54	100.00	96.43	3	100.00	1.91	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
C9J8V6	108	H7C4S2	454	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	423	450	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:423-450	462	100	100	100.00	28	1	1	3.57	100.00	108-108	99	99	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	423-450	7de60d530b2c7b2b779fa95bea503cc475c163ec60a06e829ced845bd379986d	A	28	e17ecfddb71ee1174f181e94cd2fb6eeaf5670a260001e46b64a6e81801fdb87	28	100.00	100.00	4	75.00	3.70	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
C9JAW1	70	H7C4S2	454	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	423	450	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:423-450	462	62	62	100.00	28	2	2	7.14	100.00	69-70	60	60	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	423-450	7de60d530b2c7b2b779fa95bea503cc475c163ec60a06e829ced845bd379986d	A	28	e17ecfddb71ee1174f181e94cd2fb6eeaf5670a260001e46b64a6e81801fdb87	28	100.00	100.00	2	100.00	2.86	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
C9JPH0	185	Q70SY1	520	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	292	354	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:292-354:bZIP transcription factor	520	185	169	91.35	63	14	10	22.22	71.43	140-153	171	159	92.98	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	295-354	223464dee64cfdad948ff5f6442d8d8b8f2ac7bd543b82a2a2aed99fc32891eb	A	60	0c54aaa3980b1771271d6e29d977ee78cc9564ad46249a6b3c2dda3e55ae1eec	60	100.00	100.00	5	80.00	2.70	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
C9JQU7	124	H7C4S2	454	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	423	450	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:423-450	462	116	116	100.00	28	1	1	3.57	100.00	124-124	115	115	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	423-450	7de60d530b2c7b2b779fa95bea503cc475c163ec60a06e829ced845bd379986d	A	28	e17ecfddb71ee1174f181e94cd2fb6eeaf5670a260001e46b64a6e81801fdb87	28	100.00	100.00	4	75.00	3.23	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
D2KFR9	193	A0A669KB52	636	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	322	458	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF02864:322-458:STAT protein, DNA binding domain	636	193	193	100.00	137	4	4	2.92	100.00	185-188	189	189	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A669KB52:136:624_1bf5_A_1.pdb	136-624	f3533d569be0e66e15c522f7d38e017dc3e83aa7691b7a96503665e942cfa0bf	A	489	be11faa5697aab933262cb2a4ce317f66812075a12c033aadba92eb51369e114	489	100.00	100.00	45	100.00	23.32	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
D6RAB1	173	Q9UJU2	399	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	299	367	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:299-367:HMG (high mobility group) box	399	173	173	100.00	69	3	3	4.35	100.00	169-171	170	170	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	297-366	652d19c72403682591ffd2ed31b8c0d46102aa9bf1aa01ed65b1d4d4ae5893c1	A	70	6c1ded0405b23d5a1c581a5f4d02453d3ed0523e96255ac4b025bf40687e3733	70	100.00	100.00	4	75.00	2.31	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
D6RID7	133	Q9UJU2	399	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	299	367	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:299-367:HMG (high mobility group) box	399	133	105	78.95	69	12	9	17.39	75.00	98-109	121	96	79.34	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	297-366	652d19c72403682591ffd2ed31b8c0d46102aa9bf1aa01ed65b1d4d4ae5893c1	A	70	6c1ded0405b23d5a1c581a5f4d02453d3ed0523e96255ac4b025bf40687e3733	70	100.00	100.00	4	75.00	3.01	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
D6RIV1	145	Q9UJU2	399	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	299	367	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:299-367:HMG (high mobility group) box	399	145	145	100.00	69	4	4	5.80	100.00	142-145	141	141	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	297-366	652d19c72403682591ffd2ed31b8c0d46102aa9bf1aa01ed65b1d4d4ae5893c1	A	70	6c1ded0405b23d5a1c581a5f4d02453d3ed0523e96255ac4b025bf40687e3733	70	100.00	100.00	4	75.00	2.76	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E0ZS57	114	Q10587	303	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	232	285	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF07716:232-285:Basic region leucine zipper	308	109	109	100.00	54	3	3	5.56	100.00	110-112	106	106	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q10587:230:292_1gtw_B_1.pdb	230-292	3d7b5ece80b5fbaf9f6a39477f6033bbe11d15027032a010f968ac535548b041	A	63	4ec66fdd5dfefbf2c646b14837d6c349dfcb0b571c19f8df734cd8c6c17e7691	63	100.00	100.00	4	100.00	3.51	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E5RG75	147	E5RHL1	143	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	127	139	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:127-139	168	122	118	96.72	13	0	0	0.00	0.00		122	118	96.72	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_E5RHL1:127:139_4euw_A_1.pdb	127-139	42a94864e1a84cb4f0d4c7a2f95612309fc9fa5360fba082bd41d4efe92a5067	A	13	288ffffed32249e2ac649a6f592d704363d2aeef059a407573f0a690ed27fed8	13	100.00	100.00	4	75.00	2.72	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
E5RJ51	122	E5RHL1	143	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	127	139	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:127-139	168	97	93	95.88	13	0	0	0.00	0.00		97	93	95.88	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_E5RHL1:127:139_4euw_A_1.pdb	127-139	42a94864e1a84cb4f0d4c7a2f95612309fc9fa5360fba082bd41d4efe92a5067	A	13	288ffffed32249e2ac649a6f592d704363d2aeef059a407573f0a690ed27fed8	13	100.00	100.00	4	75.00	3.28	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
E7EU07	97	Q4W4C7	280	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	124	190	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:124-190:Double treble clef zinc finger, C4 type	280	97	97	100.00	67	2	2	2.99	100.00	92-93	95	95	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	cfcad351e1dc61776aad8542fa412d5eab171c06e5fe87443c090a7839270631	B	74	0c4f8395392f61de6f905227fb94495f6df867bcbed863d50f38d6cb7b0768cc	74	100.00	100.00	3	100.00	3.09	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PKB7	330	H0YE88	426	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	32	98	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF01285:32-98:TEA/ATTS domain	426	330	325	98.48	67	9	5	13.43	55.56	3-11	321	320	99.69	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_H0YE88:31:104_5nnx_A_1.pdb	31-104	130e9796e11c9fd0884382153965087fc30c8c6ba6174fb2ad236c8dd46548da	A	74	f484f3688f6bbfb602ff56218a7dc8642a4ec0c02ff683aead68a460b7e2efe5	74	100.00	100.00	3	100.00	0.91	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PL67	100	Q9BQA5	517	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	229	368	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF13894:229-251:C2H2-type zinc finger;PF00096:255-278:Zinc finger, C2H2 type;PF00096:345-368:Zinc finger, C2H2 type	517	100	100	100.00	140	13	13	9.29	100.00	84-96	87	87	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9BQA5:174:365_5wjq_D_1.pdb	174-365	1a5bc9cc67ae9401ca23a21f114a014bc0c061672137dcb66763e7c8a4b322c9	A	192	72f8fac845620e521e9bbf95e57f70ed2bc45d56c571f89f083ba3595b3394ab	192	100.00	100.00	5	80.00	5.00	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PN75	166	Q9NZC4	300	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	207	288	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00178:207-288:Ets-domain	300	166	166	100.00	82	4	4	4.88	100.00	162-165	162	162	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	206-299	8b6170fd856ef625e641fb06fbe1f7b8d264cef56b2218da88f590a3021f4c04	A	94	b9ab4cf75bebc01ac0906530893c1988fdf427735cc9eed69bd891a7b802e49f	94	100.00	100.00	3	100.00	1.81	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PPS9	126	Q9NZC4	300	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	207	288	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00178:207-288:Ets-domain	300	126	124	98.41	82	3	3	3.66	100.00	122-124	123	121	98.37	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	206-299	8b6170fd856ef625e641fb06fbe1f7b8d264cef56b2218da88f590a3021f4c04	A	94	b9ab4cf75bebc01ac0906530893c1988fdf427735cc9eed69bd891a7b802e49f	94	100.00	100.00	3	100.00	2.38	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PQA2	105	H0YD59	165	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	67	101	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:67-101:Helix-loop-helix DNA-binding domain	166	104	35	33.65	35	14	5	40.00	35.71	50-63	90	30	33.33	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_H0YD59:63:102_4h10_A_1.pdb	63-102	3193b8d5c8f7e13477d05e1740f47488fa1ac013eb63cc0bbc2660c5a1d469f2	A	40	8a573c3224ce3362a8ec032f581832baa47d3c4bd0ac4e9ad7d513664b9eb424	40	100.00	100.00	2	100.00	1.90	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PQR6	173	Q9NZC4	300	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	207	288	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00178:207-288:Ets-domain	300	173	173	100.00	82	3	3	3.66	100.00	171-173	170	170	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	206-299	8b6170fd856ef625e641fb06fbe1f7b8d264cef56b2218da88f590a3021f4c04	A	94	b9ab4cf75bebc01ac0906530893c1988fdf427735cc9eed69bd891a7b802e49f	94	100.00	100.00	3	100.00	1.73	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
E9PQX0	158	Q9NZC4	300	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	207	288	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00178:207-288:Ets-domain	300	158	158	100.00	82	4	4	4.88	100.00	155-158	154	154	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	206-299	8b6170fd856ef625e641fb06fbe1f7b8d264cef56b2218da88f590a3021f4c04	A	94	b9ab4cf75bebc01ac0906530893c1988fdf427735cc9eed69bd891a7b802e49f	94	100.00	100.00	3	100.00	1.90	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
F5GWL1	144	P35711	763	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	556	624	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:556-624:HMG (high mobility group) box	763	144	144	100.00	69	5	5	7.25	100.00	134-138	139	139	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	e650412cce38e0f818785072e64d8f7d3421b84f7859f8ae76503212cfb0e833	A	82	9c18c1e6cd8346066459d9e5742227dab0dc349837fd9b47aac6104289915178	82	100.00	100.00	4	100.00	2.78	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
G3V0H1	128	P35711	763	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	556	624	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:556-624:HMG (high mobility group) box	763	128	128	100.00	69	7	7	10.14	100.00	112-118	121	121	100.00	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	e650412cce38e0f818785072e64d8f7d3421b84f7859f8ae76503212cfb0e833	A	82	9c18c1e6cd8346066459d9e5742227dab0dc349837fd9b47aac6104289915178	82	100.00	100.00	4	100.00	3.12	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
G3V289	170	P01100	380	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	135	194	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:135-194:bZIP transcription factor	380	170	157	92.35	60	7	4	11.67	57.14	132-138	163	153	93.87	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_P01100:135:193_2e42_B_1.pdb	135-193	724042a7f86ae12209af55929cd2c64c57b73dedefe5387c2f119874084884dc	B	59	e18ae363b1c4aee8c813434be458ff3e85c739197d01b14c56cf7b3afc98e3e8	59	100.00	100.00	4	75.00	2.35	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
G3V302	97	Q8TAX8	151	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	15	65	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:15-65:Helix-loop-helix DNA-binding domain	151	97	77	79.38	51	25	13	49.02	52.00	9-33	72	64	88.89	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TAX8:10:75_1am9_A_1.pdb	10-75	89411b37ddb400c18facca5f9b871c89467d4d285fdcfa0cdae6a2e2164c25f9	B	66	65be2acceff145da8accc857ce03ff48a5b6cf05352009ac5082fc8278d675aa	66	100.00	100.00	14	56.25	14.43	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
H0Y797	184	Q10587	303	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	232	285	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF07716:232-285:Basic region leucine zipper	303	184	174	94.57	54	0	0	0.00	0.00		184	174	94.57	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q10587:230:292_1gtw_B_1.pdb	230-292	3d7b5ece80b5fbaf9f6a39477f6033bbe11d15027032a010f968ac535548b041	A	63	4ec66fdd5dfefbf2c646b14837d6c349dfcb0b571c19f8df734cd8c6c17e7691	63	100.00	100.00	8	75.00	4.35	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
H0Y7E5	257	Q12772	1141	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	331	381	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:331-381:Helix-loop-helix DNA-binding domain	1141	257	186	72.37	51	9	6	17.65	66.67	65-73	248	180	72.58	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q12772:323:398_1hlo_A_1.pdb	323-398	104815a5c316cb942491b15950abe2ceb780c0a8836be40684b363969ad5deab	B	76	0779a5da8a3d188064617e4ae5a970ccf546beadafa643d45db72c6c2452cf19	76	100.00	100.00	4	100.00	1.56	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
H0YG25	88	A0A0S2Z3C9	452	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	341	420	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00178:341-420:Ets-domain	452	88	88	100.00	80	6	6	7.50	100.00	82-87	82	82	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A0S2Z3C9:339:428_4mhg_A_1.pdb	339-428	96ccdb0db2113285c805e110fccae45493b67146e95efdcc923f0167ee39361b	A	90	41d81c31ea648f026915834023659ab7fb33cb212b9ee4273f888980ca21efb4	90	100.00	100.00	4	100.00	4.55	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
H0YGT3	198	F5H0E9	162	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	1	19	MODEL_INTERVAL_FALLBACK_UNREVIEWED	MODEL_INTERVAL:1-19	218	142	68	47.89	19	0	0	0.00	0.00		142	68	47.89	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_F5H0E9:1:19_1lo1_A_1.pdb	1-19	5f81737b942e3bb6242de7680b4c202d9ebc036d88688f361db19c665fea3578	A	19	d7c1b78e00b6b545528d54c2a9f7d3f496a57b868dded26ba0a315e2f39cc283	19	100.00	100.00	6	66.67	3.03	RECONCILED_SHORT_NOT_HIGH_CONFIDENCE	PDB chain alignment is shorter than 30 residues and is excluded from high-confidence evidence.	YES
H0YNG1	198	U3KQ96	262	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	193	262	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00157:193-262:Pou domain - N-terminal to homeobox domain	265	195	63	32.31	70	59	11	84.29	18.64	140-198	136	52	38.24	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_U3KQ96:189:262_1e3o_C_1.pdb	189-262	47d52f8f808df558888385c737ce75507a535fdb0d4da8ab502dd936bba0a4b2	A	74	9967add12a0a6b3c367caedb2f691adf2df57c8911ac9272ebdafaa1addb6510	74	100.00	100.00	3	100.00	1.52	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
I3L0A5	509	P35711	763	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	556	624	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:556-624:HMG (high mobility group) box	763	509	504	99.02	69	4	4	5.80	100.00	490-493	505	500	99.01	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	e650412cce38e0f818785072e64d8f7d3421b84f7859f8ae76503212cfb0e833	A	82	9c18c1e6cd8346066459d9e5742227dab0dc349837fd9b47aac6104289915178	82	100.00	100.00	4	100.00	0.79	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
K7ELF3	151	K7ENH8	314	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	210	262	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:210-262:Helix-loop-helix DNA-binding domain	314	151	74	49.01	53	20	12	37.74	60.00	105-124	131	62	47.33	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	4b47e237d59ac0d3c8cbbe0c6bb296e5dc2867304079beb9fd1a257975b373d9	B	74	0c89b758071119f5b9019b6108b150552afeb4d5abbbe8edf40c5a7dd0f2bb03	74	100.00	100.00	3	100.00	1.99	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
K7EMD1	157	P36956	1147	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	324	374	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:324-374:Helix-loop-helix DNA-binding domain	1147	157	136	86.62	51	0	0	0.00	0.00		157	136	86.62	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P36956:316:404_5i50_B_1.pdb	316-404	71565db3d8b7f680cb91b2d472052429bff215f6ee2f244251ac4ea504024dad	A	89	78387c18a89e184ef65531e30946731369d51042ce21eb0dc52c752c6a9fc682	89	100.00	100.00	5	83.33	3.18	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
