failed_accession	gene	protein_description	failed_sequence_length	failed_sequence_sha256	DBD_disposition	expected_DBD_type	expected_DBD_canonical_start	expected_DBD_canonical_end	DBD_aligned_residues	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	reviewed_canonical_accession	model_bearing_accession	actual_accession_represented_by_PDB	canonical_reference_model	canonical_reference_interface_status	valid_existing_fragment_model	original_fragment_status	primary_structural_status	action_for_baldo	send_coordinates	database_display_recommendation	decision_reason	remaining_uncertainty	fusion_parent_analysis	local_sequence_search_results	draft_status
B4DTN3	HINFP	cDNA FLJ58424, highly similar to MBD2-interacting zinc finger protein	143	b9c0f113ebca7008176096521b2c4e26ff860489f5ffe832298d0c299c96ae61	NO_DBD	PF13894:C2H2-type zinc finger;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type	229	368	8	5.71	100.00	135-142	Q9BQA5				NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Canonical same-gene reference available from accession Q9BQA5; label explicitly as a reference.	Local TF search resolves the gene and canonical alignment supports loss of the DBD.			"[{""accession"":""Q9BQA5"",""aligned_residues"":143,""gene"":""HINFP"",""identity_percent"":99.3,""query_coverage_percent"":100.0,""sequence_length"":517},{""accession"":""Q15911"",""aligned_residues"":143,""gene"":""ZFHX3"",""identity_percent"":97.2,""query_coverage_percent"":100.0,""sequence_length"":3703},{""accession"":""Q9C0A1"",""aligned_residues"":143,""gene"":""ZFHX2"",""identity_percent"":95.1,""query_coverage_percent"":100.0,""sequence_length"":2572},{""accession"":""A0A2P1H683"",""aligned_residues"":143,""gene"":""ZFHX2"",""identity_percent"":95.1,""query_coverage_percent"":100.0,""sequence_length"":2572},{""accession"":""B9EK48"",""aligned_residues"":143,""gene"":""ZFHX2"",""identity_percent"":81.12,""query_coverage_percent"":100.0,""sequence_length"":1427}]"	FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4DVG0	EGR1	cDNA FLJ60905, highly similar to Early growth response protein 1	232	bb049ead0c249d803fe18b5ca7c615774ee98c3434d0879d76a24c573091cae6	NO_DBD				0	0.00	0.00		P18146	P18146	P18146	/data/sbi/interchange/boliva/patricia/models/TFS_P18146:335:421_4r2d_A_1.pdb	NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Canonical same-gene reference available from accession P18146; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4DW78	ETS1	cDNA FLJ59231, highly similar to C-ets-1 protein	300	85024f991bb486ef68d1efccbb6e54c5ff5da068edf2170e3391ddad4ce9043a	NO_DBD				0	0.00	0.00		P14921	P14921	P14921	/data/sbi/interchange/boliva/patricia/models/TFS_P14921:302:439_3mfk_A_1.pdb	NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Canonical same-gene reference available from accession P14921; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4E1B1	IRF7 hCG_18132	Interferon regulatory factor 7, isoform CRA_c (cDNA FLJ61529, highly similar to Interferon regulatory factor 7)	210	b95e0983bcd0da80a8b92ee06fcafeb11adfc406730484806004c79b5215b37f	NO_DBD				0	0.00	0.00		Q92985	Q92985	Q92985	/data/sbi/interchange/boliva/patricia/models/TFS_Q92985:17:122_1t2k_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NON_DBD_CONTACTS_NOT_ACCEPTED	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q92985; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4E2G3	CREB3L4	cDNA FLJ58974, highly similar to Homo sapiens cAMP responsive element binding protein 3-like 4 (CREB3L4), mRNA	202	d892178318ee5ab1568ddd05198b7422db64155532509f290bb37692482b1761	UNCERTAIN	PF00170:bZIP transcription factor	215	273	8	13.56	75.00	150-157	Q8TEY5	Q8TEY5	Q8TEY5	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TEY5:218:259_1t2k_C_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4E2U7	HIF1A	Hypoxia-inducible factor 1-alpha	577	a2ff18c31e35865a2c56a2e65b84dc76c3b63181f95f320d91fd1093355f5651	NO_DBD				0	0.00	0.00		Q16665	Q16665	Q16665	/data/sbi/interchange/boliva/patricia/models/TFS_Q16665:11:358_4zpk_B_1.pdb	NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Canonical same-gene reference available from accession Q16665; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4E374	ESR1	cDNA FLJ51617, highly similar to Estrogen receptor	170	4b1180ee61504544a6f2494846a0331d77c007b3f0b190d6cb73a1999ec6f570	NO_DBD				0	0.00	0.00		P03372	P03372	P03372	/data/sbi/interchange/boliva/patricia/models/TFS_P03372:183:263_1lo1_A_1.pdb	NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Canonical same-gene reference available from accession P03372; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B5MCD3	HOXD12	Homeobox D12	246	c6fd7e539d2cc29d19348fdc513a26d5a8e93572d0d8aa717d7118cdf407f97d	UNCERTAIN	PF00046:Homeodomain	203	259	38	66.67	39.47	203-243	P35452	P35452	P35452	/data/sbi/interchange/boliva/patricia/models/TFS_P35452:203:259_5zjr_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B7Z5Z3	SOX5	cDNA FLJ55780, highly similar to Transcription factor SOX-5	509	2c0db2aa68e8f9ef91eead83455678de7b14af41eb0ccf62e70e6df46e73e3cc	NO_DBD				0	0.00	0.00		P35711	P35711	P35711	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P35711; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B7Z8F5	RFX2	cDNA FLJ53376, highly similar to DNA-binding protein RFX2	510	36bf845587c92853ec482a54eea853a0f345c0a23361566291cb229947094d76	INCOMPLETE_DBD	PF02257:RFX DNA-binding domain	199	273	15	20.00	93.33	46-60	P48378	P48378			NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_CONTAINS_INCOMPLETE_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Accession contains only an incomplete DBD.	Only part of the expected canonical DBD is present; the accession cannot provide a complete modelable DBD.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9J5U3	HBP1	HMG-box transcription factor 1	111	95e8f8d1fc1a014bb5927f2e45823d68c82f4dd1ac5cdfa9d69afe5bc8c9ff10	NO_DBD				0	0.00	0.00		H7C4S2	H7C4S2	H7C4S2	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession H7C4S2; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9J682	ZFX	Zinc finger protein X-linked	135	19839c284b37240c1c9d2ff9902a448f2acd28a33ba428c333242d5eab519b4f	NO_DBD				0	0.00	0.00		B7ZKJ5	B7ZKJ5	B7ZKJ5	/data/sbi/interchange/boliva/patricia/models/TFS_B7ZKJ5:553:837_5wjq_D_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession B7ZKJ5; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9J845	MITF	Melanocyte inducing transcription factor	157	1e8f197339a8a539806e982fc78ba4ed0f1bd046bd43a248bf47a4d5139e6422	NO_DBD				0	0.00	0.00		O75030	O75030	O75030	/data/sbi/interchange/boliva/patricia/models/TFS_O75030:308:363_4h10_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession O75030; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9J8V6	HBP1	HMG-box transcription factor 1	108	9659e787a5b2e9c829d069f8d149319cbbab845477d7aed9deceb1f7fe41e60d	NO_DBD				0	0.00	0.00		H7C4S2	H7C4S2	H7C4S2	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession H7C4S2; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9JAW1	HBP1	HMG-box transcription factor 1	70	a305542df9a03eefdda2b6dab945daf3dc37dc94f6f525665caddf54490a3873	NO_DBD				0	0.00	0.00		H7C4S2	H7C4S2	H7C4S2	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession H7C4S2; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9JPH0	CREB3L2	cAMP responsive element binding protein 3 like 2	185	dd9c3a8760667e05a4ff8cff5ab1b8d84cf8ac0aa51d8f8fc9600dd2de53f94d	UNCERTAIN	PF00170:bZIP transcription factor	292	354	14	22.22	71.43	140-153	Q70SY1	Q70SY1	Q70SY1	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
C9JQU7	HBP1	HMG-box transcription factor 1	124	59d04907f7f075c891b801d14f29e07f105c875d4926f1c1e9f1d47bf213c642	NO_DBD				0	0.00	0.00		H7C4S2	H7C4S2	H7C4S2	/data/sbi/interchange/boliva/patricia/models/TFS_H7C4S2:423:450_2gzk_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession H7C4S2; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
D1LUZ8	C20orf112/RUNX1 fusion	C20orf112/RUNX1 fusion protein	170	9fee1d52525405b031a72ac70f04611ca2feebe65f52c6a9206267b4c093ff9b	INCOMPLETE_DBD	PF00853:Runt domain			12	9.38	91.67	9-20	Q01196				NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_CONTAINS_INCOMPLETE_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Accession contains only an incomplete DBD.	Fusion retains only part of a parent DBD; no complete sendable DBD is demonstrated.	Fusion breakpoint and both parent contributions remain explicitly recorded.	"[{""DBD_aligned_residues"":0,""DBD_coverage_percent"":0.0,""DBD_end"":"""",""DBD_identity_percent"":0.0,""DBD_start"":"""",""complete_DBD"":false,""expected_DBD_type"":"""",""failed_coordinates"":"""",""matched_parent_span"":"""",""parent_accession"":""Q96MY1"",""parent_gene"":""NOL4L/C20orf112"",""parent_sequence_length"":436,""partial_DBD"":false,""relationship"":""NO_CANONICAL_DBD_COORDINATES""},{""DBD_aligned_residues"":12,""DBD_coverage_percent"":9.38,""DBD_end"":179,""DBD_identity_percent"":91.67,""DBD_start"":52,""complete_DBD"":false,""expected_DBD_type"":""PF00853:Runt domain"",""failed_coordinates"":""9-20"",""matched_parent_span"":""18-453"",""parent_accession"":""Q01196"",""parent_gene"":""RUNX1"",""parent_sequence_length"":453,""partial_DBD"":true,""relationship"":""LACKS_DBD_UNRESOLVED_TOPOLOGY""}]"		FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
D2KFR9	STAT1	Truncated signal transducer and activator of transcription 1	193	78b58e1284af879b544bf35e8a972819825437775e8aedbd89fbb01e437bc389	NO_DBD				0	0.00	0.00		A0A669KB52	A0A669KB52	A0A669KB52	/data/sbi/interchange/boliva/patricia/models/TFS_A0A669KB52:136:624_1bf5_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NON_DBD_CONTACTS_NOT_ACCEPTED	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A669KB52; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
D6RAB1	LEF1	Lymphoid enhancer binding factor 1	173	30d0c88d433fb9eceef773e2a201ae4d6cc1fbd5ea251d7654a1d0080b808acf	NO_DBD				0	0.00	0.00		Q9UJU2	Q9UJU2	Q9UJU2	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9UJU2; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
D6RID7	LEF1	Lymphoid enhancer binding factor 1	133	3c6b5d9b391a45968f93520ab8e9b8fe0a2f5afbfc4c021e504825f28167449c	UNCERTAIN	PF00505:HMG (high mobility group) box	299	367	12	17.39	75.00	98-109	Q9UJU2	Q9UJU2	Q9UJU2	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
D6RIV1	LEF1	Lymphoid enhancer binding factor 1	145	b07cff1f89f2f0e375e8acf4f6782e5e08487760b851a49fe1a006ac6532c22c	NO_DBD				0	0.00	0.00		Q9UJU2	Q9UJU2	Q9UJU2	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9UJU2; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E0ZS57	TEF	Thyrotrophic embryonic factor	114	fb184304b68ec50953e3e1fe8a4f34e7bba420c303157e72ca6f75bc0648359f	NO_DBD				0	0.00	0.00		Q10587	Q10587	Q10587	/data/sbi/interchange/boliva/patricia/models/TFS_Q10587:230:292_1gtw_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q10587; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E5RG75	TCF7	Transcription factor 7	147	541f26cfd917a61687f7ee035e0d1bc3a20d0871842bf01fd3a7e6f39b50c252	NO_DBD				0	0.00	0.00		E5RHL1	E5RHL1	E5RHL1	/data/sbi/interchange/boliva/patricia/models/TFS_E5RHL1:127:139_4euw_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession E5RHL1; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E5RJ51	TCF7	Transcription factor 7	122	ac3cc2ca408e78f3bee80ebc0bc907e1a1d5624bfdef28b4a15c638d5b1ba165	NO_DBD				0	0.00	0.00		E5RHL1	E5RHL1	E5RHL1	/data/sbi/interchange/boliva/patricia/models/TFS_E5RHL1:127:139_4euw_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession E5RHL1; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E7EU07	PPARG	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	97	a433fac3b75f1d3b0f37010dc52b0f9d7107aefd58885d06a89720ca6b0a7fc2	NO_DBD				0	0.00	0.00		Q4W4C7	Q4W4C7	Q4W4C7	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q4W4C7; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PKB7	TEAD1	TEA domain transcription factor 1	330	c887fd4935d15664706a1d3279a66a36d37deb4d9bf4bf3e01ed9eb74eee384c	UNCERTAIN	PF01285:TEA/ATTS domain	32	98	9	13.43	55.56	3-11	P28347	H0YE88	H0YE88	/data/sbi/interchange/boliva/patricia/models/TFS_H0YE88:31:104_5nnx_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NON_DBD_CONTACTS_NOT_ACCEPTED	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PL67	HINFP	Histone H4 transcription factor	100	3d90ddc60cc60a8aabd93ae831c7e07ff115bfa7c2e3bb7651577aebe4a8f6bb	NO_DBD				0	0.00	0.00		Q9BQA5	Q9BQA5	Q9BQA5	/data/sbi/interchange/boliva/patricia/models/TFS_Q9BQA5:174:365_5wjq_D_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9BQA5; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PN75	EHF	ETS homologous factor	166	57fc9be69ce1577e494d0c4d74397314f88fe8195d40d7e7c86b003c9219bba6	NO_DBD				0	0.00	0.00		Q9NZC4	Q9NZC4	Q9NZC4	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9NZC4; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PPS9	EHF	ETS homologous factor	126	c58efdd340c37f63fcb61adafd17e679bb972d3b246aefeb35cf408891e622c5	NO_DBD				0	0.00	0.00		Q9NZC4	Q9NZC4	Q9NZC4	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9NZC4; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PQA2	USF1	Upstream transcription factor 1	105	135f203510d613d63abdfefd5eadab84e3fcc009f63dc5b1c5e571245acf0e07	NO_DBD	PF00010:Helix-loop-helix DNA-binding domain	200	255	1	1.79	100.00	105-105	P22415	H0YD59	H0YD59	/data/sbi/interchange/boliva/patricia/models/TFS_H0YD59:63:102_4h10_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P22415; label explicitly as a reference.	DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PQR6	EHF	ETS homologous factor	173	616cf02ff157a32bdf0ead204fdfdfba4cdb4e23eb76e0929ae5770fbc7e23eb	NO_DBD				0	0.00	0.00		Q9NZC4	Q9NZC4	Q9NZC4	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9NZC4; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
E9PQX0	EHF	ETS homologous factor	158	f3e508997bddcd268ab1537767d0f2ef8fd968459632fb3ab41007f6bdf79d9a	NO_DBD				0	0.00	0.00		Q9NZC4	Q9NZC4	Q9NZC4	/data/sbi/interchange/boliva/patricia/models/TFS_Q9NZC4:206:299_3jtg_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q9NZC4; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
